Date,Client,Poids reçu
16/09/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,104 201
16/09/2025,VIVO ENERGY CÔTE D'IVOIRE,200 000
16/09/2025,PETRO IVOIRE,508 747
15/09/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,135 819
15/09/2025,VIVO ENERGY CÔTE D'IVOIRE,200 000
15/09/2025,VIVO ENERGY CÔTE D'IVOIRE,300 000
15/09/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,206 546
15/09/2025,PETRO IVOIRE,1 008 430
15/09/2025,PETRO IVOIRE,663 115
14/09/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,298 580
14/09/2025,PETRO IVOIRE,1 194 322
10/09/2025,PETRO IVOIRE,1 362 668
10/09/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,340 667
09/09/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,476 035
09/09/2025,VIVO ENERGY CÔTE D'IVOIRE,200 000
09/09/2025,PETRO IVOIRE,2 324 171
08/09/2025,PETRO IVOIRE,985 890
08/09/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,201 929
08/09/2025,VIVO ENERGY CÔTE D'IVOIRE,300 000
06/09/2025,PETRO IVOIRE,823 012
06/09/2025,VIVO ENERGY CÔTE D'IVOIRE,500 000
06/09/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,168 569
05/09/2025,PETRO IVOIRE,1 511 974
05/09/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,377 993
05/09/2025,VIVO ENERGY CÔTE D'IVOIRE,400 000
04/09/2025,VIVO ENERGY CÔTE D'IVOIRE,300 000
04/09/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,239 987
04/09/2025,PETRO IVOIRE,959 947
03/09/2025,PETRO IVOIRE,318 946
03/09/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,79 737
03/09/2025,VIVO ENERGY CÔTE D'IVOIRE,300 000
27/08/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,50 387
27/08/2025,VIVO ENERGY CÔTE D'IVOIRE,200 000
27/08/2025,PETRO IVOIRE,246 009
25/08/2025,VIVO ENERGY CÔTE D'IVOIRE,500 000
25/08/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,168 155
25/08/2025,PETRO IVOIRE,820 991
25/08/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,253 656
25/08/2025,PETRO IVOIRE,1 238 436
24/08/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,474 566
24/08/2025,PETRO IVOIRE,2 316 999
24/08/2025,VIVO ENERGY CÔTE D'IVOIRE,200 000
21/08/2025,PETRO IVOIRE,462 518
21/08/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,115 630
21/08/2025,VIVO ENERGY CÔTE D'IVOIRE,300 000
21/08/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,348 113
21/08/2025,PETRO IVOIRE,1 699 609
20/08/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,238 191
20/08/2025,VIVO ENERGY CÔTE D'IVOIRE,300 000
20/08/2025,PETRO IVOIRE,952 765
19/08/2025,PETRO IVOIRE,1 047 478
19/08/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,261 869
19/08/2025,VIVO ENERGY CÔTE D'IVOIRE,200 000
15/08/2025,PETRO IVOIRE,595
15/08/2025,VIVO ENERGY CÔTE D'IVOIRE,100 000
15/08/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,81 391
15/08/2025,PETRO IVOIRE,397 382
15/08/2025,VIVO ENERGY CÔTE D'IVOIRE,200 000
15/08/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,220 820
15/08/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,122
15/08/2025,PETRO IVOIRE,1 078 121
14/08/2025,PETRO IVOIRE,1 077 020
14/08/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,220 594
14/08/2025,VIVO ENERGY CÔTE D'IVOIRE,200 000
14/08/2025,VIVO ENERGY CÔTE D'IVOIRE,100 000
14/08/2025,PETRO IVOIRE,1 162 642
14/08/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,238 131
09/08/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,190 174
09/08/2025,PETRO IVOIRE,928 497
07/08/2025,VIVO ENERGY CÔTE D'IVOIRE,400 000
07/08/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,441 836
07/08/2025,PETRO IVOIRE,2 157 201
06/08/2025,VIVO ENERGY CÔTE D'IVOIRE,150 000
06/08/2025,PETRO IVOIRE,705 702
06/08/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,144 541
05/08/2025,VIVO ENERGY CÔTE D'IVOIRE,250 000
05/08/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,124 841
05/08/2025,PETRO IVOIRE,609 518
01/08/2025,VIVO ENERGY CÔTE D'IVOIRE,500 000
01/08/2025,PETRO IVOIRE,1 988 444
01/08/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,500 000
31/07/2025,VIVO ENERGY CÔTE D'IVOIRE,100 000
31/07/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,144 301
31/07/2025,PETRO IVOIRE,789 506
28/07/2025,PETRO IVOIRE,816 815
28/07/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,174 070
26/07/2025,VIVO ENERGY CÔTE D'IVOIRE,850 000
26/07/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,1 000 000
26/07/2025,PETRO IVOIRE,2 633 106
22/07/2025,PETRO IVOIRE,451 418
22/07/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,120 587
22/07/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,79 817
22/07/2025,PETRO IVOIRE,682 544
21/07/2025,PETRO IVOIRE,1 783 348
21/07/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,314 739
21/07/2025,VIVO ENERGY CÔTE D'IVOIRE,500 000
18/07/2025,VIVO ENERGY CÔTE D'IVOIRE,500 000
18/07/2025,PETRO IVOIRE,2 137 954
18/07/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,376 094
15/07/2025,PETRO IVOIRE,1 245 975
15/07/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,225 917
14/07/2025,PETRO IVOIRE,1 265 587
14/07/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,237 860
14/07/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,220 513
14/07/2025,PETRO IVOIRE,1 271 063
13/07/2025,PETRO IVOIRE,1 272 490
13/07/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,220 740
09/07/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,218 450
09/07/2025,PETRO IVOIRE,1 284 273
